experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,41,1,100
