experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,revision_study,pair_id,condition,period,allocator_trace_enabled,allocator_trace_sync,resume_mode,save_freq,test_freq,val_before_train,max_actor_ckpt_to_keep,workload_name,custom_reward_function_path,custom_reward_function_name
rev-topology-qwen25_3b-gsm8k-c2-s111-four_gpu,revision_topology,prospective_revision,c2,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,111,1,100,topology,qwen25_3b-gsm8k-c2-s111,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c2-s112-four_gpu,revision_topology,prospective_revision,c2,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,112,1,100,topology,qwen25_3b-gsm8k-c2-s112,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c2-s113-four_gpu,revision_topology,prospective_revision,c2,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,113,1,100,topology,qwen25_3b-gsm8k-c2-s113,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c3-s111-four_gpu,revision_topology,prospective_revision,c3,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,111,1,100,topology,qwen25_3b-gsm8k-c3-s111,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c3-s112-four_gpu,revision_topology,prospective_revision,c3,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,112,1,100,topology,qwen25_3b-gsm8k-c3-s112,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c3-s113-four_gpu,revision_topology,prospective_revision,c3,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,113,1,100,topology,qwen25_3b-gsm8k-c3-s113,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c4-s111-four_gpu,revision_topology,prospective_revision,c4,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,111,1,100,topology,qwen25_3b-gsm8k-c4-s111,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c4-s112-four_gpu,revision_topology,prospective_revision,c4,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,112,1,100,topology,qwen25_3b-gsm8k-c4-s112,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-gsm8k-c4-s113-four_gpu,revision_topology,prospective_revision,c4,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,4,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,113,1,100,topology,qwen25_3b-gsm8k-c4-s113,four_gpu,1,True,1,disable,-1,-1,False,1,,,
rev-topology-qwen25_3b-math-c2-s111-four_gpu,revision_topology,prospective_revision,c2,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,4,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,111,1,100,topology,qwen25_3b-math-c2-s111,four_gpu,1,True,1,disable,-1,-1,False,1,,,
